Date:  21:05, Wednesday, August 28,2024,,,,,
Model name: HW1P2,,,,,,,,
Study name: Thermal 1(-Default-),,,,,,,,
Plot type: Thermal Thermal1,,,,,,,,
Time step: 1,,,,,,,,
Result Type: Temp ,,,,,,,,
,,,,,,,,
,,,,,,,,
Node  ,Value (Kelvin)  ,X (m)  ,Y (m)  ,Z (m),,,X,Temp
2,3.11E+02,0,0.5,0.5,,,0,3.11E+02
4,3.11E+02,0.1,0.5,0.5,,,0.01666667,3.11E+02
69,3.11E+02,0.06666667,0.5,0.5,,,0.03333334,3.11E+02
70,3.11E+02,0.03333334,0.5,0.5,,,0.05,3.11E+02
7218,3.11E+02,0.05,0.5,0.5,,,0.06666667,3.11E+02
36917,3.11E+02,0.01666667,0.5,0.5,,,0.08333334,3.11E+02
37734,3.11E+02,0.08333334,0.5,0.5,,,0.1,3.11E+02
37742,3.11E+02,0.1,0.5,0.5,,,0.11666667,3.10E+02
37743,2.93E+02,0.30000001,0.5,0.5,,,0.13333334,3.08E+02
37778,2.96E+02,0.26666668,0.5,0.5,,,0.15000001,3.07E+02
37779,2.99E+02,0.23333333,0.5,0.5,,,0.16666667,3.05E+02
37780,3.02E+02,0.2,0.5,0.5,,,0.18333334,3.04E+02
37781,3.05E+02,0.16666667,0.5,0.5,,,0.2,3.02E+02
37782,3.08E+02,0.13333334,0.5,0.5,,,0.21666667,3.01E+02
62036,3.04E+02,0.18333334,0.5,0.5,,,0.23333333,2.99E+02
83633,3.07E+02,0.15000001,0.5,0.5,,,0.25,2.98E+02
89322,2.95E+02,0.28333336,0.5,0.5,,,0.26666668,2.96E+02
89370,2.98E+02,0.25,0.5,0.5,,,0.28333336,2.95E+02
90801,3.01E+02,0.21666667,0.5,0.5,,,0.30000001,2.93E+02
96151,3.10E+02,0.11666667,0.5,0.5,,,,
